OI    0 | data   0.0ms | trace.update   1.9ms | get_mask  41.5ms | normalize   9.7ms | set_roi   4.0ms | mark_roi   0.4ms | curation   0.4ms | TOTAL  58.0ms
ROI   21 | data   0.0ms | trace.update   4.4ms | get_mask   0.9ms | normalize   9.3ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.4ms | TOTAL  17.7ms
ROI   22 | data   0.0ms | trace.update   4.3ms | get_mask   0.7ms | normalize   7.7ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  15.7ms
ROI   23 | data   0.0ms | trace.update   4.2ms | get_mask   0.7ms | normalize   7.5ms | set_roi   2.6ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  15.7ms
ROI   24 | data   0.0ms | trace.update   4.2ms | get_mask   0.7ms | normalize   7.4ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  15.4ms
ROI   25 | data   0.0ms | trace.update   4.2ms | get_mask   0.6ms | normalize   9.3ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  17.1ms
ROI   26 | data   0.0ms | trace.update   4.3ms | get_mask   0.6ms | normalize   8.2ms | set_roi   2.8ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  16.6ms
ROI   27 | data   0.0ms | trace.update   4.3ms | get_mask   0.6ms | normalize   8.4ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  16.4ms
ROI   28 | data   0.0ms | trace.update   4.2ms | get_mask   0.6ms | normalize   7.5ms | set_roi   2.3ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  15.3ms
ROI   29 | data   0.0ms | trace.update   5.6ms | get_mask   0.8ms | normalize  10.1ms | set_roi   2.3ms | mark_roi   0.4ms | curation   0.4ms | TOTAL  19.6ms
ROI   30 | data   0.0ms | trace.update   5.4ms | get_mask   0.7ms | normalize   7.6ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  16.7ms
ROI   31 | data   0.0ms | trace.update   5.7ms | get_mask   0.8ms | normalize   7.9ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.4ms | TOTAL  17.5ms
ROI   32 | data   0.0ms | trace.update   5.3ms | get_mask   0.7ms | normalize   7.6ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  16.7ms
ROI   33 | data   0.0ms | trace.update   5.5ms | get_mask   0.7ms | normalize   7.6ms | set_roi   2.5ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  16.9ms
ROI   34 | data   0.0ms | trace.update   5.7ms | get_mask   0.8ms | normalize   7.9ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.4ms | TOTAL  17.5ms
ROI   35 | data   0.0ms | trace.update   5.6ms | get_mask   0.7ms | normalize   7.9ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  17.2ms
ROI   36 | data   0.0ms | trace.update   5.7ms | get_mask   0.8ms | normalize   8.0ms | set_roi   2.4ms | mark_roi   0.4ms | curation   0.4ms | TOTAL  17.6ms
